title,company,skills,link
Data Analyst,White Horse Manpower Consultancy P Ltd,"SQL , IBM Cognos , Spotfire , Knowledge of Scripting ( XML , Java Script , Shell Scripting , Perl etc )",https://www.timesjobs.com/job-detail/aco-data-analyst-call-rina-white-horse-manpower-consultancy-p-ltd-bengaluru-bangalore-2-to-7-yrs-jobid-__PLUS__xI6yzPKYmJzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"data analytics , fraud analytics ,dataanalyst, statistical modeling",https://www.timesjobs.com/job-detail/manager-data-analyst-analytics-vidhya-pune-2-to-5-yrs-jobid-7Ge1g__PLUS__nv__SLASH__U9zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,alliance recruitment agency,"data analysis ,dataanalyst, vba , business consulting , analyst",https://www.timesjobs.com/job-detail/data-analyst-python-alliance-recruitment-agency-switzerland-2-to-8-yrs-jobid-__SLASH__p7LeHSYwtxzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,IRT Computer Solutions  ( I )  Pvt Ltd,"tableau , qlik sense , bi , report builder ,dataanalyst",https://www.timesjobs.com/job-detail/data-analyst-power-bi-irt-computer-solutions-i-pvt-ltd-hyderabad-secunderabad-chennai-4-to-7-yrs-jobid-wAEZog2PN__SLASH__FzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,gantec publishing solutions pvt. ltd.,"sas , information technology , bi ,dataanalyst, sql , tableau , tableau developer",https://www.timesjobs.com/job-detail/data-analyst-and-tableau-developer-gantec-publishing-solutions-pvt-ltd-0-to-3-yrs-jobid-cxIdhbwzVV5zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Impact Guru,"spss , sql , product analyst , sas , mobile , business analytics ,dataanalyst, tableau",https://www.timesjobs.com/job-detail/productanalyst-data-analyst-impact-guru-mumbai-1-to-4-yrs-jobid-L7l4cZYaNZlzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,teoco softwares pvt ltd,"business analytics ,dataanalyst, sql , alteryx , database , data science , visio , analyst , telecom , statistical analysis",https://www.timesjobs.com/job-detail/business-data-analyst-teoco-softwares-pvt-ltd-3-to-5-yrs-jobid-nGzYOKJttIpzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Analytics Vidhya,"business requirements , business environment , dashboards ,dataanalyst, sql , tableau , design thinking",https://www.timesjobs.com/job-detail/sr-data-analyst-analytics-vidhya-bengaluru-bangalore-3-to-6-yrs-jobid-c3o3VRxD4TNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ebizon net info  ( p )  ltd,"data analytics , business analytics , technical writing , sql , excel , visualization , spss , database , xml , sas , mining ,dataanalyst, statistical analysis",https://www.timesjobs.com/job-detail/data-analyst-powerbi-mumbai-ebizon-net-info-p-ltd-mumbai-2-to-7-yrs-jobid-sMvduB2QcjVzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ebizon net info  ( p )  ltd,"data analysis , database management , visualization , data validation , mis system implementation , dashboards , sql , data analytics , business analytics , mining ,dataanalyst",https://www.timesjobs.com/job-detail/data-analyst-dehradun-ebizon-net-info-p-ltd-dehradun-1-to-5-yrs-jobid-BkT6bTsUCudzpSvf__PLUS__uAgZw==&source=srp
